Commodity,PALLFNF,PEXGALL,PNFUEL,PFANDB,PFOOD,PBEVE,PINDU,PAGRI,PRAWM,PALLMETA,PMETA,PPMETA,PEXGMETA,PFERT,PNRG,POILAPSP,PNGAS,PCOAL,PALUM,PBANSOP,PBARL,PBEEF,PCOALAU,PCOALSA_USD,PCOCO,PCOFFOTM,PCOFFROB,PROIL,PCOPP,PCOTTIND,PFSHMEAL,PGNUTS,PHIDE,PIORECR,PLAMB,PLEAD,PLOGORE,PLOGSK,PMAIZMT,PNGASEU,PNGASJP,PNGASUS,PNICK,POILAPSP,POILBRE,POILDUB,POILWTI,POLVOIL,PORANG,PPOIL,PPORK,PPOULT,PRICENPQ,PRUBB,PSALM,PSAWMAL,PSAWORE,PSHRI,PSMEA,PSOIL,PSOYB,PSUGAISA,PSUGAUSA,PSUNO,PTEA,PTIN,PURAN,PWHEAMT,POATS,PSORG,PWOOLC,PWOOLF,PZINC,PLMMODY,PCOBA,PGOLD,PSILVER,PPALLA,PPLAT,PPROPANE,PUREA,PPOTASH,PDAP,PTOMATO,PMILK,PCHANA,PAPPLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commodity.Description,"All Commodity Price Index, 2016 = 100, includes both Fuel and Non-Fuel Price Indices","Commodities for Index: All, excluding Gold, 2016 = 100","Non-Fuel Price Index, 2016 = 100, includes Precious Metal, Food and Beverages and Industrial Inputs Price Indices","Food and Beverage Price Index, 2016 = 100, includes Food and Beverage Price Indices","Food Price Index, 2016 = 100, includes Cereal, Vegetable Oils, Meat, Seafood, Sugar, and Other Food (Apple (non-citrus fruit), Bananas, Chana (legumes), Fishmeal, Groundnuts, Milk (dairy), Tomato (veg)) Price Indices","Beverage Price Index, 2016 = 100, includes Coffee, Tea, and Cocoa","Industrial Inputs Price Index, 2016 = 100, includes Agricultural Raw Materials and Base Metals Price Indices","Agriculture Price Index, 2016 = 100, includes Food and Beverages and Agriculture Raw Materials Price Indices","Agricultural Raw Materials Index, 2016 = 100, includes Timber, Cotton, Wool, Rubber, and Hides Price Indices","All Metals Index, 2016 = 100: includes Metal Price Index (Base Metals) and Precious Metals Index","Base Metals Price Index, 2016 = 100, includes Aluminum, Cobalt, Copper, Iron Ore, Lead, Molybdenum, Nickel, Tin, Uranium and Zinc Price Indices","Precious Metals Price Index, 2016 = 100, includes Gold, Silver, Palladium and Platinum Price Indices","All Metals EX GOLD Index, 2016 = 100: includes Metal Price Index (Base Metals) and ONLY Silver, Palladium, Platinum ","Fertilizer Index, 2016 = 100, includes DAP, Potash, UREA","Fuel (Energy) Index, 2016 = 100, includes Crude oil (petroleum), Natural Gas, Coal Price and Propane Indices","Crude Oil (petroleum), Price index, 2016 = 100, simple average of three spot prices; Dated Brent, West Texas Intermediate, and the Dubai Fateh","Natural Gas Price Index, 2016 = 100, includes European, Japanese, and American Natural Gas Price Indices","Coal Price Index, 2016 = 100, includes Australian and South African Coal","Aluminum, 99.5% minimum purity, LME spot price, CIF UK ports, US$ per metric ton","Bananas, Central American and Ecuador, FOB U.S. Ports, US$ per metric ton","Barley, Canadian no.1 Western Barley, spot price, US$ per metric ton","Beef, Australian and New Zealand 85% lean fores, CIF U.S. import price, US cents per pound","Coal, Australian thermal coal, 12,000- btu/pound, less than 1% sulfur, 14% ash, FOB Newcastle/Port Kembla, US$ per metric ton","Coal, South African export price, US$ per metric ton","Cocoa beans, International Cocoa Organization cash price, CIF US and European ports, US$ per metric ton","Coffee, Other Mild Arabicas, International Coffee Organization New York cash price, ex-dock New York, US cents per pound","Coffee, Robusta, International Coffee Organization New York cash price, ex-dock New York, US cents per pound","Rapeseed oil, crude, fob Rotterdam, US$ per metric ton","Copper, grade A cathode, LME spot price, CIF European ports, US$ per metric ton","Cotton, Cotton Outlook 'A Index', Middling 1-3/32 inch staple, CIF Liverpool, US cents per pound","Fishmeal, Peru Fish meal/pellets 65% protein, CIF, US$ per metric ton","Groundnuts (peanuts), 40/50 (40 to 50 count per ounce), cif Argentina, US$ per metric ton","Hides, Heavy native steers, over 53 pounds, wholesale dealer's price, US, Chicago, fob Shipping Point, US cents per pound","China import Iron Ore Fines 62% FE spot (CFR Tianjin port), US dollars per metric ton","Lamb, frozen carcass Smithfield London, US cents per pound","Lead, 99.97% pure, LME spot price, CIF European Ports, US$ per metric ton","Soft Logs, Average Export price from the U.S. for Douglas Fir, US$ per cubic meter","Hard Logs, Best quality Malaysian meranti, import price Japan, US$ per cubic meter","Maize (corn), U.S. No.2 Yellow, FOB Gulf of Mexico, U.S. price, US$ per metric ton","Natural Gas, Netherlands TTF Natural Gas Forward Day Ahead, US$ per Million Metric British Thermal Unit","Natural Gas, Indonesian Liquefied Natural Gas in Japan, US$ per Million Metric British Thermal Unit","Natural Gas, Natural Gas spot price at the Henry Hub terminal in Louisiana, US$ per Million Metric British Thermal Unit","Nickel, melting grade, LME spot price, CIF European ports, US$ per metric ton","Crude Oil (petroleum), Price index, 2016 = 100, simple average of three spot prices; Dated Brent, West Texas Intermediate, and the Dubai Fateh","Crude Oil (petroleum),  Dated Brent, light blend 38 API, fob U.K., US$ per barrel","Crude Oil (petroleum), Dubai Fateh Fateh 32 API, US$ per barrel","Crude Oil (petroleum), West Texas Intermediate 40 API, Midland Texas, US$ per barrel","Olive Oil, extra virgin less than 1% free fatty acid, ex-tanker price U.K., US$ per metric ton","Generic 1st 'JO' Future, USD/lb","Palm oil, Malaysia Palm Oil Futures (first contract forward) 4-5 percent FFA, US$ per metric ton","Swine (pork), 51-52% lean Hogs, U.S. price, US cents per pound.","Poultry (chicken), Whole bird spot price, Ready-to-cook, whole, iced, Georgia docks, US cents per pound","Rice, 5 percent broken milled white rice, Thailand nominal price quote, US$ per metric ton","Rubber, Singapore Commodity Exchange, No. 3 Rubber Smoked Sheets, 1st contract, US cents per pound","Fish (salmon), Farm Bred Norwegian Salmon, export price, US$ per kilogram","Hard Sawnwood, Dark Red Meranti, select and better quality, C&F U.K port, US$ per cubic meter","Soft Sawnwood, average export price of Douglas Fir, U.S. Price, US$ per cubic meter",Thailand Whiteleg Shrimp 70 Shrimps/Kg Spot Price,"Soybean Meal, Chicago Soybean Meal Futures (first contract forward) Minimum 48 percent protein, US$ per metric ton","Soybean Oil, Chicago Soybean Oil Futures (first contract forward) exchange approved grades, US$ per metric ton","Soybeans, U.S. soybeans, Chicago Soybean futures contract (first contract forward) No. 2 yellow and par, US$ per metric ton","Sugar, Free Market, Coffee Sugar and Cocoa Exchange (CSCE) contract no.11 nearest future position, US cents per pound","Sugar, U.S. import price, contract no.14 nearest futures position, US cents per pound (Footnote: No. 14 revised to No. 16)","Sunflower oil, Sunflower Oil, US export price from Gulf of Mexico, US$ per metric ton","Tea, Mombasa, Kenya, Auction Price, US cents per kilogram, From July 1998,Kenya auctions, Best Pekoe Fannings. Prior, London auctions, c.i.f. U.K. warehouses","Tin, standard grade, LME spot price, US$ per metric ton","Uranium, NUEXCO, Restricted Price, Nuexco exchange spot, US$ per pound","Wheat, No.1 Hard Red Winter, ordinary protein, Kansas City, US$ per metric ton","Generic 1st 'O ' Future, USD/bushel","Sorghum; U.S., Number 2 yellow, fob Gulf of Mexico, US cents per pound","Wool, coarse, 23 micron, Australian Wool Exchange spot quote, US cents per kilogram","Wool, fine, 19 micron, Australian Wool Exchange spot quote, US cents per kilogram","Zinc, high grade 98% pure, US$ per metric ton","Molybdenum, 57 to 63% purity contained in roasted molybdenum concentrate, LME spot price, USD/ton","Cobalt, minimum 99.80% purity, LME spot price, USD/ton","Gold, Fixing Committee of the London Bullion Market Association, London 3 PM fixed price, US$ per troy ounce","Silver, London Bullion Market Association, USD/troy ounce","Palladium, LME spot price, USD/ troy ounce","Platinum, LME spot price, USD/troy ounce",North American Spot LPG Propane Price/Mont Belvieu LST,"US Gulf NOLA Urea Granular Spot Price, USD/ST","Potassium Chloride (Muriate of Potash) Standard Grade: FOB Vancouver Spot Price, USD/metric tonne","US Gulf NOLA DAP Export Spot Price per MT, USD/metric tonne","Monthly average consumer prices in metropolitan France - Tomatoes (1 Kg), EUR","USDA Class 3 (formerly known as Basic Formula) Milk Spot Price, USD/cwt","MCX India Chana Spot, INR/100 Kgs","Monthly average consumer prices in metropolitan France - Apples (1 Kg), EUR","Chromium =99.2%, Coarse Particle",Energy Transition Metal Index,"Lithium Metal =99%, Battery Grade",Manganese Electro CIF NWE (US$/MT),Rare Earth Carbonate REO 42-45 Dom.,Silicon Lumps CIF NWE (US$/MT),Vanadium Pentoxide CIF NWE,,,,,,,,,,,,,,,,,,,,,,,,,
Data Type,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,Index,USD,USD,USD,USD,USD,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,,,,,,,,,,,,,,,,,,,,,,,,,
1990M1,,,,,,50.35,,,72.92,,,33.10,,,,,,51.17,1528.00,589.70,75.57,126.31,38.00,31.00,995.00,75.83,50.52,440.95,2365.56,75.20,652.06,864.35,92.70,14.05,111.90,707.00,121.56,156.04,105.90,1.73,,,7056.00,20.37,20.99,17.50,22.60,2972.68,1.91,230.56,93.15,47.83,276.00,37.73,5.20,555.92,203.78,4.69,191.31,418.66,209.83,14.20,23.05,588.04,252.93,6592.00,9.00,167.92,1.43,4.62,501.13,1074.04,1294.00,,7630.00,409.82,5.25,135.41,497.66,,124.06,,148.00,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990M2,,,,,,51.12,,,73.52,,,33.70,,,,,,51.17,1454.00,644.90,73.86,111.46,38.00,31.00,1022.00,84.01,51.30,422.29,2358.94,75.96,670.17,823.75,92.68,14.05,116.17,779.00,121.31,153.10,106.29,1.73,,,6977.00,19.53,19.70,16.68,22.20,3052.71,1.94,223.95,80.00,48.60,300.00,38.68,5.65,569.15,203.73,5.02,182.27,438.72,208.45,14.65,22.88,608.48,211.29,6156.10,8.80,160.94,1.38,4.57,494.86,1062.00,1394.00,,7660.00,417.18,5.29,135.44,516.10,,125.60,,145.80,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990M3,,,,,,55.75,,,74.24,,,31.81,,,,,,51.17,1567.00,538.50,70.04,112.67,38.00,31.00,1131.00,93.96,57.68,412.77,2625.70,78.90,641.98,795.91,95.41,14.05,114.08,1059.00,128.02,145.55,109.84,1.73,,,9267.00,18.22,18.47,15.76,20.44,2925.14,1.92,236.34,79.91,50.34,289.00,37.58,5.61,566.26,206.02,5.12,184.33,487.22,218.28,15.31,23.58,618.08,192.60,6270.50,8.80,156.53,1.46,4.69,488.60,1064.40,1666.00,,8030.00,392.70,5.08,130.28,497.06,,122.50,,160.91,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990M4,,,,,,57.60,,,76.10,,,30.42,,,,,,51.17,1526.00,584.20,68.77,112.13,38.00,31.00,1336.00,93.73,57.39,428.80,2685.23,82.87,647.40,761.43,100.00,14.05,121.11,835.00,127.26,145.14,118.50,2.11,,,8939.00,16.57,16.93,14.25,18.53,2945.97,1.96,220.64,99.64,49.07,276.00,38.01,5.63,549.91,218.76,5.29,191.06,498.24,220.67,15.24,23.79,609.51,194.81,6390.90,8.65,159.47,1.55,4.98,482.34,1071.63,1686.00,,8230.00,374.29,5.06,126.96,478.15,,120.48,,175.62,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990M5,,,,,,57.18,,,75.49,,,30.08,,,,,,54.12,1527.00,494.40,71.03,112.49,40.50,32.50,1443.00,92.02,55.03,444.77,2740.34,85.60,663.07,768.48,99.46,14.05,122.52,825.00,130.37,155.67,121.25,2.11,,,8698.00,16.59,16.67,14.65,18.44,3021.10,1.95,232.21,115.68,49.03,260.00,38.75,5.80,491.88,213.00,5.39,199.97,526.90,228.32,14.62,23.59,621.77,187.02,6324.60,9.35,149.18,1.57,5.03,447.26,1057.18,1775.00,,8150.00,369.20,5.07,119.64,488.55,,118.78,,168.74,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990M6,,,,,,54.26,,,75.64,,,28.81,,,,,,55.28,1566.00,529.10,80.23,113.58,40.50,34.00,1330.00,88.26,52.38,430.43,2583.81,90.18,676.15,767.38,97.90,14.05,123.41,837.00,136.49,163.59,120.07,2.11,,,8422.00,15.18,15.55,13.28,16.70,3074.49,1.86,224.77,121.46,50.27,255.00,38.67,5.67,495.39,200.00,5.50,192.49,531.75,221.06,12.97,23.31,612.37,181.49,6096.00,11.00,135.58,1.42,5.03,440.99,898.24,1715.00,,8140.00,352.53,4.92,115.46,481.11,,118.24,,174.33,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990M7,,,,,,54.01,,,76.31,,,29.49,,,,,,55.28,1571.00,625.60,77.99,116.07,40.50,34.00,1346.00,86.48,51.47,435.43,2769.00,91.79,715.45,778.18,96.75,14.05,125.57,875.00,126.06,170.92,114.96,1.92,,,9318.00,17.14,17.47,15.31,18.64,3252.20,1.83,230.56,96.19,50.05,256.00,39.01,5.74,485.86,210.05,4.75,193.97,530.65,222.46,12.00,23.42,589.29,189.79,5924.40,11.60,124.93,1.28,4.95,418.44,895.83,1637.00,,9110.00,362.50,4.87,117.09,478.79,,123.09,,178.09,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
